Plot_ID,Shape,Plot_size_m2,parent_plot,Northing,Easting,AGB(Mg/ha)_Y,AGB(Mg/ha)_J,AGB(Mg/ha)_C,AGB(Mg/ha)_W,AGB(Mg/ha)_Mean,Point_density,Vegetation_density,Max_height,Mean_height,P25,P50,P75,P95
c_100_001,circle,100,1,4974552.016,525148.9151041645,179.86751012738324,194.1866949598683,199.50297875898144,167.2861322330074,185.2108290198101,53.6,0.6041044776119403,28.8,20.536306,19.0825,21.84,24.5675,27.0415
c_100_002,circle,100,1,4974558.652571437,525144.0933527754,37.26566795698399,41.06864098334345,39.91377662979276,35.03989036668233,38.32199398420063,47.04,0.6998299319727891,28.8,19.55543,15.9475,20.83,23.83,25.97
c_100_003,circle,100,1,4974556.117626716,525136.2915951425,202.57953764028574,218.5362105707173,224.43697654178365,184.4568788713441,207.5024009060327,42.58,0.9335368717707844,28.49,19.705938,17.195,21.94,23.98,26.443
c_100_004,circle,100,1,4974547.914373283,525136.2915951425,181.18248052666314,204.40154208648198,197.57810657770708,174.69198531360502,189.46352862611428,43.78,0.9769301050708086,27.45,17.63631,14.19,19.46,22.03,25.02
c_100_005,circle,100,1,4974545.379428563,525144.0933527754,186.32217908124937,210.7093207229299,206.03540660688427,179.45946693445197,195.63159333637887,49.08,0.9138141809290954,28.16,17.945778,13.62,19.79,22.78,25.99
c_100_006,circle,100,2,4975569.679,524912.4301041645,35.2087584236715,41.018883945432975,36.86021075950313,31.537485389713446,36.156334629580265,41.54,0.7096774193548387,33.17,17.6211,9.52,20.085,24.4,31.4595
c_100_007,circle,100,2,4975576.315571437,524907.6083527755,26.952151793098608,30.152387603924886,27.986102578023893,25.3231670289556,27.603452251000746,41.34,0.634978229317852,26.95,12.714804,9.96,12.69,15.89,19.307999
c_100_008,circle,100,2,4975573.780626716,524899.8065951425,56.01057844456741,63.36645874829409,57.99545340203666,53.018254368856184,57.59768624093859,67.97,0.8650875386199794,31.7,17.397287,9.22,18.86,24.55,29.16
c_100_009,circle,100,2,4975565.577373283,524899.8065951425,492.9852253675856,538.0750204465763,537.3345807485277,445.5783672497497,503.4932984531099,55.18,0.9603117071402683,32.12,21.287714,19.13,23.75,27.29,30.32
c_100_010,circle,100,2,4975563.042428562,524907.6083527755,124.40985874688647,133.8920389180169,138.44619906824244,114.3467635203689,127.77371506337867,44.15,0.8518686296715742,31.7,23.929482,21.68,24.49,27.17,29.83
c_100_011,circle,100,3,4975188.667,525012.9261041644,164.10568103933036,200.57537570635827,177.9419314572661,166.52728397522085,177.2875680445439,50.11,0.8487327878666933,25.08,10.53296,7.33,9.12,12.67,20.5
c_100_012,circle,100,3,4975195.3035714375,525008.1043527754,324.3285412361868,373.4993409178093,345.3561998461929,311.22918761927326,338.60331740486555,63.01,0.8295508649420726,27.45,16.363705,9.465,18.2,22.95,25.41
c_100_013,circle,100,3,4975192.768626717,525000.3025951424,75.80327472483353,97.1558023996185,74.51199408254845,74.04810010597375,80.37979282824355,47.69,0.6921786538058293,25.41,9.439457,6.24,8.46,10.75,22.54
c_100_014,circle,100,3,4975184.565373284,525000.3025951424,188.7317170718613,207.46728691379434,175.0341600477282,186.00237290251175,189.30888423397388,52.9,0.8351606805293006,20.97,11.449397,7.65,10.1,16.0375,19.27
c_100_015,circle,100,3,4975182.030428563,525008.1043527754,65.97541460943204,99.91053110004131,69.39399753401679,73.00472284711141,77.07116652265039,43.8,0.8089041095890411,17.17,8.579594,6.645,8.33,10.12,14.6189995
c_100_016,circle,100,4,4974882.089,525131.9381041644,118.36196309860297,133.54474025843726,127.92871233506695,115.86951090166298,123.92623164844254,59.61,0.8069115920147626,21.48,9.522461,6.23,8.75,12.36,18.1
c_100_017,circle,100,4,4974888.725571437,525127.1163527754,79.15246088390676,85.82832325779879,86.16073529464782,75.63205910205272,81.69339463460153,48.3,0.868944099378882,21.15,9.900424,5.06,9.09,14.88,18.622
c_100_018,circle,100,4,4974886.190626716,525119.3145951424,262.3239944024989,288.93269872097835,290.29642973816516,246.5786733170751,272.03294904467936,49.37,0.9220174194855175,20.72,10.010832,5.2,10.16,14.95,17.7545
c_100_019,circle,100,4,4974877.987373283,525119.3145951424,53.9637525677983,59.58633491169039,56.62093492338198,52.74197870669333,55.728250277391,50.9,0.9259332023575638,21.21,11.247664,7.74,11.44,15.01,18.99
c_100_020,circle,100,4,4974875.452428563,525127.1163527754,94.18572310099552,103.8808178519877,100.64819320228298,91.68023548601427,97.59874241032013,51.73,0.7929634641407307,18.04,8.981221,5.55,8.23,12.17,16.02
c_100_021,circle,100,5,4975907.399,524776.0341041645,87.51004304635333,98.51887724152645,88.16871136730185,82.38090670028156,89.1446345888658,50.68,0.7973559589581689,24.085,12.632585,8.445,13.645,17.065,19.735
c_100_022,circle,100,5,4975914.035571437,524771.2123527754,48.26345170418232,54.737514282156724,49.33782055258786,50.055334712169156,50.59853031277402,46.01,0.9032818952401652,24.755,13.448149,9.2225,14.32,17.8875,21.275
c_100_023,circle,100,5,4975911.500626717,524763.4105951424,44.43960379229222,70.1320248805958,71.38042252750074,66.36077209385827,63.07820582356176,50.0,0.9426,23.035,13.2227955,8.655,14.935,18.145,20.413
c_100_024,circle,100,5,4975903.297373284,524763.4105951424,239.74790751429393,278.5672984166209,262.05774751292586,238.80893362469175,254.7954717671331,47.72,0.8880972338642079,24.195,13.114766,9.4475,12.975,16.875,22.155
c_100_025,circle,100,5,4975900.762428563,524771.2123527754,167.3268288615101,162.6910010377094,144.42612375288408,151.82949648504444,156.56836253428702,53.63,0.7667350363602461,30.355,16.279388,12.122499,15.145,20.685,27.704
c_100_026,circle,100,6,4976225.143,524514.8141041645,29.222033328914243,32.46633664246144,29.822012605403412,28.26754368476638,29.94448156538637,14.19,0.981677237491191,26.0,13.839999,10.97,13.17,16.51,22.67
c_100_027,circle,100,6,4976231.779571437,524509.9923527754,91.13036649341558,103.64229410207564,92.4498806318154,84.47581675425363,92.92458949539007,15.85,0.9772870662460568,26.57,15.299639,12.91,15.35,18.03,21.666
c_100_028,circle,100,6,4976229.244626717,524502.1905951424,193.3673271227191,214.7132898339948,206.12742769211553,180.53436286321627,198.68560187801143,18.0,0.9277777777777778,26.2,15.972862,14.345,16.79,18.2775,21.4955
c_100_029,circle,100,6,4976221.041373284,524502.1905951424,198.0928121487848,220.3279765786661,207.80541281895034,181.89416770529587,202.03009231292427,17.53,0.9127210496292071,24.82,17.375395,15.184999,17.895,20.192501,23.62
c_100_030,circle,100,6,4976218.506428563,524509.9923527754,450.0466857642714,489.9325260467127,491.2268140041339,417.47481273150345,462.1702096366554,22.8,0.9486842105263158,26.7,17.041758,13.65,17.11,20.985,24.22
c_100_031,circle,100,7,4976269.182,525031.5591041645,264.54523310946877,301.3319472989632,285.7557325236783,242.8716443194945,273.62613931290116,65.27,0.9143557530258924,23.14,16.599249,13.34,17.474998,20.56,22.08
c_100_032,circle,100,7,4976275.818571437,525026.7373527754,203.18702869964102,255.31782545940914,240.8143311993484,182.42013086232814,220.4348290551817,66.73,0.9283680503521654,22.39,15.720765,12.54,16.05,19.41,21.79
c_100_033,circle,100,7,4976273.283626717,525018.9355951424,124.96850192953843,188.21728017398488,138.39844590719215,136.34806208198694,146.98307252317562,49.22,0.9890288500609509,25.95,11.5372715,8.85,11.47,13.6,19.5965
c_100_034,circle,100,7,4976265.0803732835,525018.9355951424,44.88220762072505,51.47388674022678,46.825914618084845,54.826754546339686,49.50219088134409,40.78,0.9818538499264345,19.14,10.35296,8.18,11.02,12.512501,14.478499
c_100_035,circle,100,7,4976262.545428563,525026.7373527754,167.28672446273904,162.7432303221698,155.19932237178602,154.46630468657253,159.92389546081685,58.41,0.9712378017462763,24.17,14.296773,11.6,13.74,17.85,21.42
c_100_036,circle,100,8,4976535.25,524990.7311041645,52.39665893684077,59.60562931762353,50.90304591923962,50.07535070997118,53.24517122091878,52.45,0.9643469971401335,22.14,9.6505995,7.41,9.32,11.3975,17.481499
c_100_037,circle,100,8,4976541.886571437,524985.9093527754,114.20013028156312,122.1297277460309,122.89044724382325,100.50519466101619,114.93137498310836,54.96,0.9144832605531296,26.61,13.756347,8.17,12.09,19.92,24.71
c_100_038,circle,100,8,4976539.351626717,524978.1075951424,59.30293748524959,62.16835431559371,58.6045732102999,41.07011246665281,55.286494369449,53.4,0.9099250936329588,33.4,15.778433,10.06,14.4,20.445,28.3
c_100_039,circle,100,8,4976531.148373283,524978.1075951424,84.99685801993752,85.75410206698237,81.32421249066113,81.2918310644517,83.34175091050818,63.35,0.8044198895027624,26.01,13.655649,9.1875,14.51,18.05,21.522501
c_100_040,circle,100,8,4976528.613428563,524985.9093527754,100.68114098618233,113.29139313758662,101.88770537469776,93.66672887532631,102.38174209344827,65.04,0.8826875768757687,30.71,15.052294,8.37,15.8,19.92,28.03
c_100_041,circle,100,9,4976764.273,524978.2421041644,268.69994346985845,301.9538118448886,295.9049441116572,236.51465383708071,275.76833831587123,53.17,0.9565544479969907,32.33,16.275871,11.49,16.03,20.05,26.9725
c_100_042,circle,100,9,4976770.909571437,524973.4203527754,314.93517493990873,363.6605716903992,345.7637118859345,270.6341938491071,323.7484130913374,57.11,0.9746104009805638,32.98,20.100677,15.5525,21.055,25.11,30.6225
c_100_043,circle,100,9,4976768.374626717,524965.6185951424,0.0,0.0,0.0,0.0,0.0,46.08,0.7654079861111112,29.03,13.119529,8.285,12.95,16.94,25.494
c_100_044,circle,100,9,4976760.1713732835,524965.6185951424,161.32260248203622,173.35864518420806,179.8056714358506,146.54919751197292,165.25902915351696,54.11,0.6828682313805211,31.83,17.738035,9.9,20.08,25.564999,30.16
c_100_045,circle,100,9,4976757.636428563,524973.4203527754,229.3843786315313,294.77792604269587,245.28883437388797,182.06587129391775,237.87925258550823,51.11,0.7742124828800626,24.16,11.106725,7.85,10.43,13.75,21.042
c_100_046,circle,100,10,4975957.068,525217.4551041644,170.22449992860356,197.01003916331024,176.9697869055932,163.73892494820893,176.98581273642898,55.3,0.9768535262206148,21.11,13.111767,10.34,13.665,15.85,18.18
c_100_047,circle,100,10,4975963.704571437,525212.6333527754,329.7449216880723,388.16595967240977,344.05408716562937,324.339261281275,346.5760574518466,56.25,0.9685333333333334,23.56,16.691933,15.49,17.25,18.5,20.15
c_100_048,circle,100,10,4975961.1696267165,525204.8315951424,214.65504421237893,255.10492396507672,223.62819059277155,228.04242156690384,230.35764508428275,51.22,0.9453338539632956,22.17,17.267242,16.41,17.81,18.81,20.24
c_100_049,circle,100,10,4975952.966373283,525204.8315951424,242.06114228080975,285.27275615726876,249.3660757250458,258.52130355943257,258.8053194306392,52.61,0.9724386998669454,23.6,16.927834,15.22,17.7,19.13,20.81
c_100_050,circle,100,10,4975950.431428563,525212.6333527754,136.94820210752505,154.48890865999192,141.21296868239705,142.21595679597496,143.71650906147224,55.54,0.977133597407274,22.16,13.032454,11.26,13.3,15.14,17.487
c_100_051,circle,100,11,4975613.36,525395.1981041644,293.2281202971634,322.92951086050584,320.39197793249406,275.41316839277886,302.9906943707356,72.88,0.9235729967069155,29.62,19.484888,14.76,21.11,24.634998,27.17
